Combined localizations
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-ByteblazarsNoBlurryTextures\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-Material Modifier\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.idea\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.idea\.idea.0-SCore.dir\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.idea\.idea.0-SCore.dir\.idea\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.vs\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Caves\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Caves\Stamps\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Caves\StampsV2\localization.txt "
Key,English,French,german,russian
BurnWithFire01,"Burn a building down.","","Ein Gebäude niederbrennen.","Сжечь здание."
BurnWithFire01Desc,"Allow a building to catch fire and burn down.","","Lassen Sie ein Gebäude Feuer fangen und niederbrennen.","Позвольте зданию загореться и сгореть."
onblockDestroyed,"Destroy block","","Block zerstören","Уничтожить блок"
BreakBlock01,"Destroy a Retro Refrigerator ( closed )","","Zerstöre einen Retro-Kühlschrank (geschlossen)","Уничтожить ретро-холодильник (закрытый)"
BreakBlock01Short,"Destroy a retro refrigerator (closed )","","Zerstöre einen Retro-Kühlschrank (geschlossen)","Уничтожить ретро-холодильник (закрытый)"
BreakBlock02,"Destroy any metal block","","Zerstöre einen beliebigen Metallblock","Уничтожить любой металлический блок"
BreakBlock02Short,"Destroy any metal block","","Zerstöre einen beliebigen Metallblock","Уничтожить любой металлический блок"
BreakBlock03,"Destroy a Retro Refrigerator ( closed )","","Zerstöre einen Retro-Kühlschrank (geschlossen)","Уничтожить ретро-холодильник (закрытый)"
BreakBlock03Short,"Destroy a retro refrigerator (closed ) in any poi within the pine forest","","Zerstöre einen Retro-Kühlschrank (geschlossen) in einem beliebigen POI im Kiefernwald","Уничтожьте ретро-холодильник (закрытый) в любом POI в сосновом лесу"
BreakBlock04,"Destroy any metal block","","Zerstöre einen beliebigen Metallblock","Уничтожить любой металлический блок"
BreakBlock04Short,"Destroy any metal block in the pine forest","","Zerstöre einen beliebigen Metallblock im Kiefernwald","Уничтожьте любой металлический блок в сосновом лесу"
SCore02challenges_key,"Fire Bug","","Feuerwanze","Огненный жук"
onStartFire,"Start a Fire","","Ein Feuer starten","Разжечь огонь"
BurnWithFire02,"Start a fire","","Ein Feuer starten","Разжечь огонь"
BurnWithFire02Desc,"Start a fire with the Fire Mod active.","","Starte ein Feuer mit dem aktiven Feuermod.","Разжечь огонь с активным модом Огонь."
onBigFire,"Start an out of control fire","","Ein unkontrolliertes Feuer starten","Разжечь неконтролируемый пожар"
onBigFireDesc,"Start a large, out of control fire","","Starte ein großes, unkontrolliertes Feuer","Разжечь большой, неконтролируемый пожар"
onExtinguish,"Extinguish a fire","","Ein Feuer löschen","Потушить огонь"
onExtinguishDesc,"Extinguish a fire with the Fire Mod active.","","Lösche ein Feuer mit dem aktiven Feuermod.","Потушите огонь с активным модом Огонь."
onHireNPC,"Hire an NPC","","Einen NSC anheuern","Нанять NPC"
NPCchallenges_key,"NPC Challenges","","NSC-Herausforderungen","Испытания NPC"
hireNPCs,"Hire NPCs","","NSCs anheuern","Нанять NPC"
hireNPCsNurse,"Hire a Nurse with a Knife","","Heuere eine Krankenschwester mit einem Messer an","Нанять медсестру с ножом"
hireNPCsMale,"Hire a male NPC","","Einen männlichen NSC anheuern","Нанять мужчину NPC"
hireNPCsFemale,"Hire a female NPC","","Einen weiblichen NSC anheuern","Нанять женщину NPC"
hireNPCsMaleBurnt,"Hire a Male NPC in the burnt forest","","Heuere einen männlichen NSC im verbrannten Wald an","Нанять мужчину NPC в сгоревшем лесу"
hireNPCsFemaleWithItem,"Hire a female holding goldenrod flower","","Heuere eine Frau an, die eine Goldrutenblume hält","Нанять женщину, держащую цветок золотарника"
hireNPCsMaleWithItem,"Hire a male NPC with some brass in your hand","","Heuere einen männlichen NSC mit etwas Messing in deiner Hand an","Нанять мужчину NPC с небольшим количеством латуни в руке"
hireNPCsMaleWithmaterial,"Hire a male NPC with a wood material in your hand.","","Heuere einen männlichen NSC mit einem Holzmaterial in deiner Hand an.","Нанять мужчину NPC с деревянным материалом в руке."
onHarvest,"Harvest","","Ernten","Собирать урожай"
NPC_title,"Hire NPCs","","NSCs anheuern","Нанять NPC"
SCore03challenges_key,"Harvests","","Ernten","Урожаи"
challengeKillZombiesWithItemDesc,"Kill Zombies","","Zombies töten","Убить зомби"
challengeKillWithItemDesc,"Kill","","Töten","Убить"
challengeObjectiveWearTags,"Wear with tag(s) ","","Tragen mit Tag(s) ","Носить с тегом(ами) "
challengeObjectiveGatherTags,"Gather items with the tag(s)","","Sammle Gegenstände mit dem/den Tag(s)","Собирать предметы с тегом(ами)"
challengeObjectiveOnCVar,"Get CVar","","CVar erhalten","Получить CVar"
challengeObjectiveOnBlockUpgrade,"Upgrade Block","","Block verbessern","Улучшить блок"
challengeObjectiveCraftWithTags,"Craft with tags","","Herstellen mit Tags","Создать с тегами"
repair_limit_reached,"Repair Reached For This Item.","","Reparaturlimit für diesen Gegenstand erreicht.","Достигнут лимит ремонта для этого предмета."
score_versioncheck_mismatchTitle,"Version Mismatch Detected","","Versionskonflikt erkannt","Обнаружено несоответствие версий"
score_versioncheck_mismatchDesc,"The game version ({0}) does not match the mod version ({1}). This may cause issues.","","Die Spielversion ({0}) stimmt nicht mit der Mod-Version ({1}) überein. Dies kann zu Problemen führen.","Версия игры ({0}) не соответствует версии мода ({1}). Это может вызвать проблемы."
sprinkler_manual_on,"Sprinkler Manual On","","Sprinkler manuell ein","Ручное включение разбрызгивателя"
sprinkler_manual_off,"Sprinkler Manual Off","","Sprinkler manuell aus","Ручное выключение разбрызгивателя"
sprinkler_auto_on,"Sprinkler Auto On","","Sprinkler automatisch ein","Автоматическое включение разбрызгивателя"
sprinkler_auto_off,"Sprinkler Auto Off","","Sprinkler automatisch aus","Автоматическое выключение разбрызгивателя"
sprinkler_auto,"Sprinkler Auto","","Sprinkler Auto","Автоматический разбрызгиватель"
sprinkler_manual,"Sprinkler Manual","","Sprinkler manuell","Ручной разбрызгиватель"
sprinkler_auto_desc,"Sprinkler Auto","","Sprinkler Auto","Автоматический разбрызгиватель"
sprinkler_manual_desc,"Sprinkler Manual","","Sprinkler manuell","Ручной разбрызгиватель"
sharedReadingDesc,"Shared Reading from","","Geteiltes Lesen von","Совместное чтение от"
sharedReadingSourceDesc,"Sharing To Party Members","","Teilen mit Gruppenmitgliedern","Поделиться с членами группы"
poi_no_building,"No Building Within This POI.","","Kein Gebäude in diesem POI.","В этом POI нет зданий."
LearnByDoingLevelUp,"Skill Level Up! You are a better","","Fähigkeitslevel aufgestiegen! Du bist ein besserer","Уровень навыка повышен! Вы стали лучше"
challengePlaceBlockByTag,"Place Block with Tag","",""
BrokenItem,"Broken","",""
xuiNeedPower,"Power","","" "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Config\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Config\Blocks\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Config\Dialogs\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Config\XUi\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Config\XUi_Common\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Config\XUi_Menu\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Documentation\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Documentation\AI\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Documentation\Challenges\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Documentation\Examples\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Documentation\Features\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Documentation\Features\Craft From Containers\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Documentation\Features\Craft From Containers\Examples\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Documentation\Features\Degradation\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Documentation\MinEvents\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Documentation\Utils\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Documentation\XPath\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\AdvancedWorkstations\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\AdvancedWorkstations\Harmony\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\AdvancedWorkstations\Scripts\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\BlockEffectManager\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\BlockEffectManager\Harmony\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\BlockEffectManager\Scripts\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\BloodMoonTweaks\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\BloodMoonTweaks\Harmony\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\Caves\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\Caves\Harmony\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\Caves\Scripts\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\Challenges\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\Challenges\Harmony\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\Challenges\Scripts\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\Challenges\ScriptsV2\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\Drones\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\Drones\Harmony\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\DynamicBones\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\DynamicBones\Harmony\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\DynamicBones\Scripts\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\EntityPooling\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\EntityPooling\Harmony\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\EntityPooling\Scripts\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\ErrorChecks\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\ErrorChecks\Harmony\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\Farming\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\Farming\Scripts\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\Farming\Scripts\Blocks\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\Farming\Scripts\Blocks\Water Blocks\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\Farming\Scripts\DataClasses\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\Farming\Scripts\NetPackage\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\FireV2\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\FireV2\Harmony\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\FireV2\Scripts\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\FireV2\Scripts\Interfaces\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\FireV2\Scripts\MinEvent\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Features\FireV2\Scripts\NetPackage\localization.txt "
